timestamp,item_id,packet_size
1764770119.691453,1,644
1764770119.691553,283,1244
1764770119.691653,1000,1290
1764770119.691753,1,587
1764770119.691853,1,80
1764770119.691953,7,156
1764770119.692053,1,1411
1764770119.692153,1000,1127
1764770119.692253,15,1420
1764770119.692353,2,1133
1764770119.692453,3,1482
1764770119.692553,1,1229
1764770119.692653,17,615
1764770119.692753,35,853
1764770119.692853,1,1361
1764770119.692953,1000,464
1764770119.693053,1000,380
1764770119.693153,1,779
1764770119.693253,2,758
1764770119.693353,1000,86
1764770119.693453,7,1389
1764770119.693553,3,1191
1764770119.693653,1000,1026
1764770119.693753,119,585
1764770119.693853,7,179
1764770119.693953,5,843
1764770119.694053,134,727
1764770119.694153,167,476
1764770119.694253,324,67
1764770119.694353,2,85
1764770119.694453,1,863
1764770119.694553,1000,503
1764770119.694653,1,795
1764770119.694753,1000,1158
1764770119.694853,32,609
1764770119.694953,214,679
1764770119.695053,35,1333
1764770119.695153,369,837
1764770119.695253,38,1200
1764770119.695353,4,59
1764770119.695453,299,1256
1764770119.695553,12,296
1764770119.695653,1000,1036
1764770119.695753,776,380
1764770119.695853,20,540
1764770119.695953,3,684
1764770119.696053,1,810
1764770119.696153,27,530
1764770119.696253,3,1455
1764770119.696353,1,1303
1764770119.696453,1,392
1764770119.696553,3,162
1764770119.696653,132,1223
1764770119.696753,4,1038
1764770119.696853,1000,101
1764770119.696953,29,1413
1764770119.697053,1000,1360
1764770119.697153,6,520
1764770119.697253,1,1343
1764770119.697353,140,427
1764770119.697453,1,953
1764770119.697553,2,768
1764770119.697653,9,1242
1764770119.697753,1000,731
1764770119.697853,2,1053
1764770119.697953,6,787
1764770119.698053,1000,650
1764770119.698153,4,722
1764770119.698253,10,465
1764770119.698353,1000,205
1764770119.698453,6,1163
1764770119.698553,144,171
1764770119.698653,1,1254
1764770119.698753,1000,1123
1764770119.698853,1000,922
1764770119.698953,5,787
1764770119.699053,7,724
1764770119.699153,1000,258
1764770119.699253,816,236
1764770119.699353,1000,281
1764770119.699453,2,524
1764770119.699553,11,899
1764770119.699653,1000,177
1764770119.699753,1,1214
1764770119.699853,2,1033
1764770119.699953,67,1117
1764770119.700053,1,66
1764770119.700153,99,919
1764770119.700253,1000,529
1764770119.700353,1000,1260
1764770119.700453,1000,424
1764770119.700553,1,697
1764770119.700653,44,999
1764770119.700753,1,1311
1764770119.700853,304,548
1764770119.700953,1,1028
1764770119.701053,8,287
1764770119.701153,2,1357
1764770119.701253,4,169
1764770119.701353,1000,765
1764770119.701453,99,1194
1764770119.701553,8,752
1764770119.701653,2,954
1764770119.701753,2,1110
1764770119.701853,179,623
1764770119.701953,13,186
1764770119.702053,24,575
1764770119.702153,14,916
1764770119.702253,119,50
1764770119.702353,16,914
1764770119.702453,20,946
1764770119.702553,1000,1215
1764770119.702653,1,708
1764770119.702753,2,455
1764770119.702853,205,274
1764770119.702953,22,1314
1764770119.703053,3,189
1764770119.703153,2,740
1764770119.703253,1000,300
1764770119.703353,1000,1333
1764770119.703453,1,345
1764770119.703553,114,120
1764770119.703653,30,1412
1764770119.703753,15,934
1764770119.703853,1000,578
1764770119.703953,33,410
1764770119.704053,1000,1435
1764770119.704153,4,573
1764770119.704253,11,80
1764770119.704353,109,787
1764770119.704453,1000,543
1764770119.704553,3,457
1764770119.704653,1000,1283
1764770119.704753,1,928
1764770119.704853,116,743
1764770119.704953,2,820
1764770119.705053,7,607
1764770119.705153,131,716
1764770119.705253,6,306
1764770119.705353,1000,1356
1764770119.705453,2,614
1764770119.705553,4,237
1764770119.705653,107,1108
1764770119.705753,1000,91
1764770119.705853,112,1062
1764770119.705953,212,973
1764770119.706053,1,762
1764770119.706153,32,165
1764770119.706253,5,1377
1764770119.706353,1,511
1764770119.706453,6,1145
1764770119.706553,1000,689
1764770119.706653,24,210
1764770119.706753,73,885
1764770119.706853,1000,500
1764770119.706953,4,352
1764770119.707053,10,801
1764770119.707153,23,333
1764770119.707253,1000,1087
1764770119.707353,1000,776
1764770119.707453,1,1108
1764770119.707553,378,445
1764770119.707653,1,436
1764770119.707753,176,897
1764770119.707853,1000,616
1764770119.707953,6,1242
1764770119.708053,7,1169
1764770119.708153,1000,1429
1764770119.708253,18,699
1764770119.708353,330,571
1764770119.708453,1000,1047
1764770119.708553,63,1368
1764770119.708653,1,84
1764770119.708753,1,464
1764770119.708853,1000,193
1764770119.708953,52,1352
1764770119.709053,502,999
1764770119.709153,4,906
1764770119.709253,68,1159
1764770119.709353,10,281
1764770119.709453,5,297
1764770119.709553,1,1095
1764770119.709653,1000,921
1764770119.709753,1,725
1764770119.709853,1000,179
1764770119.709953,47,1116
1764770119.710053,1,1039
1764770119.710153,7,569
1764770119.710253,279,538
1764770119.710353,1000,484
1764770119.710453,13,1478
1764770119.710553,1,1191
1764770119.710653,40,1121
1764770119.710753,2,1052
1764770119.710853,147,1045
1764770119.710953,1,1470
1764770119.711053,1,1419
1764770119.711153,1,138
1764770119.711253,19,145
1764770119.711353,2,758
1764770119.711453,1,550
1764770119.711553,24,988
1764770119.711653,1,1106
1764770119.711753,4,812
1764770119.711853,8,621
1764770119.711953,1,760
1764770119.712053,1,839
1764770119.712153,1000,1294
1764770119.712253,11,1214
1764770119.712353,30,1135
1764770119.712453,2,1302
1764770119.712553,34,1084
1764770119.712653,1,1159
1764770119.712753,3,895
1764770119.712853,1,802
1764770119.712953,8,510
1764770119.713053,73,1337
1764770119.713153,1,177
1764770119.713253,65,1122
1764770119.713353,1,372
1764770119.713453,1,498
1764770119.713553,5,784
1764770119.713653,45,1200
1764770119.713753,7,931
1764770119.713853,133,985
1764770119.713953,10,1137
1764770119.714053,1000,360
1764770119.714153,393,1255
1764770119.714253,1000,740
1764770119.714353,404,858
1764770119.714453,1,622
1764770119.714553,1,816
1764770119.714653,2,153
1764770119.714753,1000,504
1764770119.714853,10,929
1764770119.714953,373,489
1764770119.715053,556,490
1764770119.715153,119,342
1764770119.715253,200,955
1764770119.715353,1000,262
1764770119.715453,9,1350
1764770119.715553,10,372
1764770119.715653,136,848
1764770119.715753,618,877
1764770119.715853,1000,393
1764770119.715953,3,497
1764770119.716053,5,441
1764770119.716153,318,950
1764770119.716253,1000,382
1764770119.716353,1000,897
1764770119.716453,13,506
1764770119.716553,159,1443
1764770119.716653,48,56
1764770119.716753,1000,622
1764770119.716853,1,462
1764770119.716953,179,1245
1764770119.717053,1000,1026
1764770119.717153,1000,1308
1764770119.717253,2,527
1764770119.717353,18,899
1764770119.717453,1,965
1764770119.717553,132,596
1764770119.717653,87,1376
1764770119.717753,1000,1133
1764770119.717853,46,135
1764770119.717953,67,990
1764770119.718053,2,171
1764770119.718153,8,255
1764770119.718253,1000,664
1764770119.718353,111,1062
1764770119.718453,1000,981
1764770119.718553,2,562
1764770119.718653,1,1191
1764770119.718753,69,1339
1764770119.718853,208,646
1764770119.718953,1,59
1764770119.719053,3,496
1764770119.719153,1,875
1764770119.719253,1000,669
1764770119.719353,1000,993
1764770119.719453,1,741
1764770119.719553,3,339
1764770119.719653,1,544
1764770119.719753,4,646
1764770119.719853,62,1493
1764770119.719953,6,606
1764770119.720053,2,743
1764770119.720153,5,1209
1764770119.720253,3,632
1764770119.720353,733,908
1764770119.720453,1000,456
1764770119.720553,922,135
1764770119.720653,1000,926
1764770119.720753,25,479
1764770119.720853,1000,1213
1764770119.720953,2,308
1764770119.721053,10,1306
1764770119.721153,99,467
1764770119.721253,1,401
1764770119.721353,1,322
1764770119.721453,63,880
1764770119.721553,1,1047
1764770119.721653,1000,455
1764770119.721753,16,1472
1764770119.721853,4,80
1764770119.721953,42,1439
1764770119.722053,1000,414
1764770119.722153,2,988
1764770119.722253,3,426
1764770119.722353,319,1294
1764770119.722453,2,84
1764770119.722553,2,1434
1764770119.722653,229,863
1764770119.722753,1,66
1764770119.722853,1,853
1764770119.722953,1,1284
1764770119.723053,77,59
